Descriptions,Category,Type,Status,Currency_
NON- CURRENT ASSETS,,,Active,KES
COMPUTERS - ACCUM DEP,,Acc Deprn - Computers & Accessories,Active,KES
COMPUTER EQUIPMENT -ACCUM DEP,,Acc Deprn - Computers & Accessories,Active,KES
COMPUTERS  SOFTWARE - ACCUM DEP,,Acc Deprn - Computers Software,Active,KES
FURNITURE AND FIXTURE- ACCUM DEP,,Acc Deprn - Furniture & Fittings,Active,KES
FREEHOLD BUILDINGS-ACCUM DEP,,Acc Deprn - Leasehold Properties,Active,KES
MOTOR VEHICLES - ACCUM DEP,,Acc Deprn - Motor Vehicles,Active,KES
OFFICE EQUIPMENT -ACUM DEP,,Acc Deprn - Office Equipment,Active,KES
PLANT & MACHINERY - ACCUM DEP,,Acc Deprn - Plant & Machinery,Active,KES
COMPUTERS - COST,,Computers & Accessories,Active,KES
COMPUTER EQUIPMENT - COST,,Computers & Accessories,Active,KES
COMPUTERS  SOFTWARE-COST,,Computers Software,Active,KES
FURNITURE & FIXTURES-COST,,Furniture & Fittings,Active,KES
FREEHOLD LAND - COST,,Land and Buildings,Active,KES
FREEHOLD BUILDINGS- COST,,Land and Buildings,Active,KES
MOTOR VEHICLES - COST,,Motor Vehicles,Active,KES
OFFICE EQUIPMENT - COST,,Office Equipment,Active,KES
FREEHOLD LAND - CIP,,Other Current Assets,Active,KES
PLANT & MACHINERY - COST,,Plant and Machinery,Active,KES
TAX RECEIVABLE,,Non-current assets,Active,KES
DEFERRED TAX ASSETS,,Deferred Tax,Active,KES
OTHER NON-CURRENT ASSETS,,Non-current assets,Active,KES
ASSETS HELD FOR SALE,,Non-current assets,Active,KES
GOODWILL,,Other Fixed Assets,Active,KES
INTANGIBLES,,Non-current assets,Active,KES
LONG-TERM INVESTMENTS,,Long Term Liabilities,Active,KES
STOCK,,Inventory,Active,KES
INVENTORY ASSET,,Current assets,Active,KES
RECEIVABLES,,debtors,Active,KES
ACCOUNTS RECEIVABLE (A/R),,debtors,Active,KES
CURRENT ASSET,,Current assets,Active,KES
ALLOWANCE FOR BAD DEBT,,Debtors,Active,KES
AVAILABLE FOR SALE ASSETS (SHORT-TERM),,Current assets,Active,KES
PREPAID EXPENSES,,Prepayments,Active,KES
UNCATEGORISED ASSET,,Current assets,Active,KES
PREPAID TAX,,Prepayments,Active,KES
BANK ACCOUNTS,,Cash At Bank,Active,KES
CASH IN HAND,,Cash In Hand,Active,KES
PETTYCASH,,Cash In Hand,Active,KES
INTERCOMPANY,,,Active,KES
INTERCOMPANY,,InterCompany Current Assets,Active,KES
121110.0,,Other Current Assets,Active,KES
STAFF LOAN,,Other Current Assets,Active,KES
STAFF ADVANCE,,Other Current Assets,Active,KES
122180.0,,Other Current Assets,Active,KES
122186.0,,Other Current Assets,Active,KES
PAYABLE ACCOUNTS,,Trade Creditors,Active,KES
ACCOUNTS PAYABLE (A/P),,Trade Creditors,Active,KES
