Code,Name,Class,Group,Type,Normal Balance,Currency,Status,Notes
100100,Freehold Land — Cost,Asset,Non-current,PPE,Debit,KES,Active,
100200,Freehold Buildings — Cost,Asset,Non-current,PPE,Debit,KES,Active,
100300,Motor Vehicles — Cost,Asset,Non-current,PPE,Debit,KES,Active,"Trucks, prime movers, trailers"
100400,Plant & Machinery — Cost,Asset,Non-current,PPE,Debit,KES,Active,
100500,Furniture & Fixtures — Cost,Asset,Non-current,PPE,Debit,KES,Active,
100600,Office Equipment — Cost,Asset,Non-current,PPE,Debit,KES,Active,
100700,Computer Equipment — Cost,Asset,Non-current,PPE,Debit,KES,Active,
100800,Computer Software — Cost,Asset,Non-current,PPE,Debit,KES,Active,
100900,Capital Work in Progress,Asset,Non-current,PPE,Debit,KES,Active,Was 'FREEHOLD LAND - CIP'
101200,Acc. Dep. — Buildings (Freehold),Asset,Non-current,Acc. Dep.,Credit,KES,Active,Was wrongly typed as Leasehold
101300,Acc. Dep. — Motor Vehicles,Asset,Non-current,Acc. Dep.,Credit,KES,Active,
101400,Acc. Dep. — Plant & Machinery,Asset,Non-current,Acc. Dep.,Credit,KES,Active,
101500,Acc. Dep. — Furniture & Fixtures,Asset,Non-current,Acc. Dep.,Credit,KES,Active,
101600,Acc. Dep. — Office Equipment,Asset,Non-current,Acc. Dep.,Credit,KES,Active,
101700,Acc. Dep. — Computer Equipment,Asset,Non-current,Acc. Dep.,Credit,KES,Active,
101800,Acc. Dep. — Computer Software (Amortisation),Asset,Non-current,Acc. Dep.,Credit,KES,Active,
102100,Goodwill,Asset,Non-current,Intangible,Debit,KES,Active,
102200,Intangible Assets — Other,Asset,Non-current,Intangible,Debit,KES,Active,
102300,Long-term Investments,Asset,Non-current,Investment,Debit,KES,Active,Reclassified from Long-term Liability
102400,Deferred Tax Assets,Asset,Non-current,Tax,Debit,KES,Active,
102500,Other Non-current Assets,Asset,Non-current,Other,Debit,KES,Active,
102600,Tax Receivable (Long-term),Asset,Non-current,Tax,Debit,KES,Active,
102700,Assets Held for Sale,Asset,Non-current,Other,Debit,KES,Active,
111100,Trade Debtors / AR — KES,Asset,Current,Receivable,Debit,KES,Active,Sub-ledger by customer
111200,Trade Debtors / AR — USD,Asset,Current,Receivable,Debit,USD,Active,NEW. Sub-ledger by customer
111300,Allowance for Bad Debts (contra),Asset,Current,Receivable,Credit,KES,Active,
111500,Intercompany Receivables,Asset,Current,Receivable,Debit,KES,Active,Was duplicated INTERCOMPANY
111600,Staff Loans,Asset,Current,Receivable,Debit,KES,Active,
111700,Staff Advances,Asset,Current,Receivable,Debit,KES,Active,
